age,gender,race,education,experience_years,department,hired
39,Male,Asian,High School,12,HR,1
48,Male,White,Bachelor,8,Engineering,1
55,Female,White,PhD,14,Operations,0
48,Female,White,Master,13,Sales,1
38,Male,Asian,Bachelor,6,Operations,1
45,Male,Black,Bachelor,19,HR,0
46,Female,Asian,High School,1,Operations,1
28,Female,White,Master,6,Marketing,0
27,Male,White,High School,5,HR,1
45,Male,White,Bachelor,16,Sales,0
54,Female,White,PhD,1,Marketing,1
50,Female,Black,High School,2,Operations,0
43,Female,White,Master,4,HR,1
47,Female,White,PhD,4,Sales,1
49,Male,Hispanic,High School,0,Marketing,0
42,Male,White,Master,7,Sales,0
28,Female,Black,Bachelor,11,Operations,0
38,Female,Asian,PhD,3,Sales,1
41,Female,White,Bachelor,12,Engineering,0
41,Female,Black,Master,14,Marketing,0
43,Male,Asian,Bachelor,10,Sales,1
49,Male,Hispanic,Master,9,Operations,1
28,Female,White,Master,2,Operations,1
22,Female,Hispanic,Bachelor,13,Sales,0
53,Female,White,Master,15,Operations,1
34,Female,White,Bachelor,9,HR,1
51,Female,White,High School,9,HR,1
44,Male,Hispanic,High School,11,HR,0
40,Male,White,Bachelor,8,Engineering,1
53,Male,White,Bachelor,0,Sales,1
51,Male,Black,PhD,4,Engineering,1
50,Male,White,High School,19,Operations,1
50,Male,White,Master,7,Engineering,1
51,Male,White,High School,10,Operations,1
37,Male,White,Master,11,Operations,1
40,Male,White,PhD,0,Marketing,1
39,Male,White,Bachelor,19,HR,1
22,Male,Black,Master,10,Operations,1
35,Female,White,High School,4,Marketing,0
23,Male,White,Master,14,HR,1
49,Male,Asian,Bachelor,4,Operations,1
51,Male,White,PhD,11,Operations,1
25,Female,Black,High School,4,Engineering,1
22,Male,White,Bachelor,16,Engineering,1
29,Female,White,Master,16,HR,1
50,Male,White,Bachelor,11,Operations,1
